tier,track,company,website,segment,company_fit_score,company_confidence_score,company_reachability_score,company_personalization_richness_score,company_pilot_likelihood_score,workflow_insertion_point,likely_team_buyer,why_now,contact_sequence,full_name,role,persona_type,source_quality,source_url,personalization_source,why_this_person,likely_angle,public_contact_path,contact_path_status,notes
Tier 1,Agent platforms / agent builders,Lindy,https://www.lindy.ai,Workflow agent platform,9,7,9,8,9,"Agent workflows for operations, booking, procurement, and tool buying.","Founder, CTO, product lead for actions and integrations.","Lindy is pushing broader workflow execution, making transactional controls more relevant.",1,Flo Crivello,Founder and CEO,buyer,high,https://flocrivello.com/home/,Founder personal site and public contact page.,"Best direct founder route for any discussion about where Lindy should stop at assistant behavior versus take real, controlled action.",Extend assistant workflows into bounded spend actions without turning Lindy into a compliance project.,florent dot crivello at gmail dot com,public_direct,Direct public email on founder site.
Tier 1,Agent platforms / agent builders,Lindy,https://www.lindy.ai,Workflow agent platform,9,7,9,8,9,"Agent workflows for operations, booking, procurement, and tool buying.","Founder, CTO, product lead for actions and integrations.","Lindy is pushing broader workflow execution, making transactional controls more relevant.",2,Luiz Fernando Scheidegger,Head of Engineering,evaluator,medium,https://theorg.com/org/lindy-ai,The Org Lindy company page.,Likely technical owner for deciding whether spend controls live inside Lindy or are delegated to an external control layer.,"Reduce the engineering burden of approvals, policy ceilings, and audit logging around autonomous actions.",,not_publicly_confirmed,Good technical second thread.
Tier 1,Agent platforms / agent builders,Lindy,https://www.lindy.ai,Workflow agent platform,9,7,9,8,9,"Agent workflows for operations, booking, procurement, and tool buying.","Founder, CTO, product lead for actions and integrations.","Lindy is pushing broader workflow execution, making transactional controls more relevant.",3,Lindy Drope,Head of GTM,champion,medium,https://theorg.com/org/lindy-ai/org-chart/lindy-drope,The Org profile for Lindy GTM leadership.,Useful if the thesis lands as a revenue-enabling trust layer for enterprise customers rather than a pure product feature.,Help Lindy sell higher-trust workflows into customers who want the assistant to do more than draft and schedule.,,not_publicly_confirmed,Commercial thread.
Tier 1,Agent platforms / agent builders,Lindy,https://www.lindy.ai,Workflow agent platform,9,7,9,8,9,"Agent workflows for operations, booking, procurement, and tool buying.","Founder, CTO, product lead for actions and integrations.","Lindy is pushing broader workflow execution, making transactional controls more relevant.",4,Jack Jundanian,Director of Operations and Analytics,champion,medium,https://theorg.com/org/lindy-ai/org-chart/jack-jundanian,The Org profile describing responsibility for financial operations and business intelligence.,Strong internal champion if Sardis is positioned first as a control layer for spend-sensitive automation use cases.,Tie the pitch to operational visibility and finance-safe delegation rather than generic AI productivity.,,not_publicly_confirmed,Corrected from the older role note.
Tier 1,Agent platforms / agent builders,Lindy,https://www.lindy.ai,Workflow agent platform,9,7,9,8,9,"Agent workflows for operations, booking, procurement, and tool buying.","Founder, CTO, product lead for actions and integrations.","Lindy is pushing broader workflow execution, making transactional controls more relevant.",5,Everett Butler,Head of Marketing,influencer,medium,https://theorg.com/org/lindy-ai,The Org Lindy company page.,"Relevant if Lindy is testing higher-value workflows tied to revenue operations, prospecting, or customer outreach.",Move from assistant-style help into controlled commercial actions with approval boundaries.,,not_publicly_confirmed,Useful for GTM-heavy workflow cases.
Tier 1,Agent platforms / agent builders,Lindy,https://www.lindy.ai,Workflow agent platform,9,7,9,8,9,"Agent workflows for operations, booking, procurement, and tool buying.","Founder, CTO, product lead for actions and integrations.","Lindy is pushing broader workflow execution, making transactional controls more relevant.",6,Ian McGregor,Senior Software Engineer,champion,medium,https://theorg.com/org/lindy-ai/org-chart/ian-mcgregor,The Org engineering profile.,Hands-on builder who can quickly validate whether externalized payment guardrails would reduce implementation complexity.,Keep the pitch technical and specific to action execution.,support@lindy.ai,public_routing_only,Only official Lindy routing inbox surfaced publicly.
Tier 1,Commerce / marketplace / travel / procurement platforms,Zip,https://ziphq.com,Procurement orchestration platform,10,9,8,9,9,"Intake-to-procure, supplier requests, controlled purchase execution.","Founder, CTO, AI product lead, procurement workflow leadership.",Zip is publicly shipping AI procurement workflows and showing strong customer adoption.,1,Rujul Zaparde,Co-founder and CEO,buyer,high,https://ziphq.com/blog/introducing-zip-ai,Official Zip AI launch post.,Founder of one of the cleanest workflow-fit companies for governed agentic purchasing.,Let procurement AI move from recommendation into controlled spend execution without breaking approval discipline.,,not_publicly_confirmed,Highest-conviction account in the procurement track.
Tier 1,Commerce / marketplace / travel / procurement platforms,Zip,https://ziphq.com,Procurement orchestration platform,10,9,8,9,9,"Intake-to-procure, supplier requests, controlled purchase execution.","Founder, CTO, AI product lead, procurement workflow leadership.",Zip is publicly shipping AI procurement workflows and showing strong customer adoption.,2,Lu Cheng,Co-founder and CTO,evaluator,high,https://ziphq.com/blog/introducing-zip-ai,Official Zip AI launch post.,Best technical counterpart to assess whether Sardis belongs as a partner layer or native build-out.,Externalize hard spend policy logic so Zip can stay focused on orchestration and procurement UX.,,not_publicly_confirmed,Strong technical buyer.
Tier 1,Commerce / marketplace / travel / procurement platforms,Zip,https://ziphq.com,Procurement orchestration platform,10,9,8,9,9,"Intake-to-procure, supplier requests, controlled purchase execution.","Founder, CTO, AI product lead, procurement workflow leadership.",Zip is publicly shipping AI procurement workflows and showing strong customer adoption.,3,Gabe Novais,VP of Product,buyer,medium,https://theorg.com/org/ziphq,The Org Zip company page.,Likely practical owner for where AI and approval-heavy procurement workflows intersect in the product roadmap.,Make delegated procurement actions safe enough for enterprise rollout.,,not_publicly_confirmed,Good product-route alternative to founder outreach.
Tier 1,Commerce / marketplace / travel / procurement platforms,Zip,https://ziphq.com,Procurement orchestration platform,10,9,8,9,9,"Intake-to-procure, supplier requests, controlled purchase execution.","Founder, CTO, AI product lead, procurement workflow leadership.",Zip is publicly shipping AI procurement workflows and showing strong customer adoption.,4,Jason Moore,Head of Enterprise Transformation,champion,high,https://ziphq.com/blog/welcome-jason-moore-head-of-enterprise-transformation,Official Zip post announcing Jason Moore.,Operator-side champion who can test the workflow hypothesis against real procurement pain.,Focus on where agents stall today because spend and approval steps are still too risky.,,not_publicly_confirmed,Excellent practitioner contact.
